price,lotSize,age,livingArea,pctCollege,bedrooms,fireplaces,bathrooms,rooms
132500,0.09,42,906,35,2,1,1.0,5
181115,0.92,0,1953,51,3,0,2.5,6
109000,0.19,133,1944,51,4,1,1.0,8
155000,0.41,13,1944,51,3,1,1.5,5
86060,0.11,0,840,51,2,0,1.0,3
120000,0.68,31,1152,22,4,1,1.0,8
153000,0.4,33,2752,51,4,1,1.5,8
170000,1.21,23,1662,35,4,1,1.5,9
90000,0.83,36,1632,51,3,0,1.5,8
122900,1.94,4,1416,44,3,0,1.5,6
325000,2.29,123,2894,51,7,0,1.0,12
120000,0.92,1,1624,51,3,0,2.0,6
85860,8.97,13,704,41,2,0,1.0,4
97000,0.11,153,1383,57,3,0,2.0,5
127000,0.14,9,1300,41,3,0,1.5,8
89900,0.0,88,936,57,3,0,1.0,4
155000,0.13,9,1300,41,3,0,1.5,7
253750,2.0,0,2816,71,4,1,2.5,12
60000,0.21,82,924,35,2,0,1.0,6
87500,0.88,17,1092,35,3,0,1.0,6
112000,1.0,12,1056,35,3,0,1.0,7
104900,0.43,21,1600,39,3,0,1.5,4
148635,0.32,1,1576,39,3,0,2.5,7
150000,0.03,24,2080,39,3,0,2.0,6
90400,0.36,16,1600,39,3,0,1.5,4
248800,4.0,28,2224,39,4,0,3.0,10
135000,1.83,126,1656,39,3,0,1.0,6
145000,3.0,26,1170,39,4,0,1.5,5
457000,0.43,53,2461,39,4,1,2.0,10
140000,0.44,56,1544,71,3,1,1.5,7
130000,1.24,51,1220,71,2,2,1.0,4
187000,0.46,3,1858,52,3,1,2.5,7
229000,0.87,9,2219,64,3,1,2.0,8
227000,1.8,201,1876,52,3,0,2.5,5
179900,0.46,1,2026,52,4,1,2.5,6
169900,0.91,19,1671,71,4,1,3.0,8
209900,0.46,1,2060,52,4,1,2.5,7
169900,0.59,0,1884,52,4,1,2.5,9
293000,7.24,43,2022,71,4,2,3.0,6
245900,0.19,0,2394,71,4,1,2.5,7
157000,0.46,45,1390,71,3,1,1.5,6
195000,0.41,32,1954,71,4,0,2.5,8
150000,0.78,54,1554,71,3,1,1.5,5
234900,0.89,9,1976,64,3,0,2.5,6
279550,1.34,0,2479,71,4,1,2.5,10
246500,1.0,0,2714,71,4,1,2.5,9
124000,1.0,98,797,52,2,0,1.0,3
138000,0.27,54,1500,71,3,0,2.5,7
290000,0.71,73,1838,71,4,0,2.0,8
108000,0.9,48,1042,71,2,1,2.0,3
134900,0.24,10,1782,52,3,0,2.5,6
64500,0.06,16,1480,52,2,1,2.5,5
142000,0.55,20,1426,52,3,1,2.0,6
